start_time	end_time	label
0.0	0.16490000000000002	BG
0.4497	0.6197	BG
0.6196	0.9295	BG
3.3081	3.678	Shoe
3.508	4.0778	Shoe
4.567399999999999	4.9173	BG
4.7773	5.2671	BG
5.267	5.4769	Shoe
5.4369	5.6468	Sponge
5.6168000000000005	5.9467	BG
5.8366999999999996	6.0266	Shoe
5.9966	6.2065	Sponge
6.2463999999999995	6.4764	Sponge
6.3863	6.5163	Sponge
6.4663	7.1761	BG
6.9261	8.015699999999999	BG
7.5257	7.7556	Shoe
7.9554	8.3453	Sponge
8.1653	8.395299999999999	Shoe
8.3452	10.3937	Sponge
9.4146	9.8245	Sponge
9.7244	10.274299999999998	Sponge
10.024299999999998	10.2542	Sponge
10.164200000000001	14.9918	BG
12.602799999999998	12.7928	BG
12.802700000000002	13.3325	Sponge
13.0825	13.2325	BG
13.2724	13.5024	Sponge
13.4024	13.652299999999999	Sponge
13.632200000000001	14.0221	BG
13.8721	14.3619	BG
14.1619	14.2919	BG
14.4817	14.8116	Shoe
14.8215	15.3314	Shoe
15.3013	15.7311	BG
15.6411	15.931	BG
15.831	16.0609	BG
15.9809	16.3707	BG
16.400599999999997	16.7305	BG
16.6005	17.2903	Shoe
17.0003	17.1703	Shoe
17.280099999999997	17.4301	Shoe
17.6399	18.209799999999998	Shoe
18.099700000000002	18.3296	Sponge
18.2396	18.889400000000002	Sponge
18.5794	18.929299999999998	Shoe
18.8592	19.149099999999997	Shoe
19.0891	19.579	BG
19.7387	19.968700000000002	Shoe
20.1785	20.448400000000003	Shoe
20.5183	20.7283	Sponge
20.668200000000002	21.0381	Sponge
20.8981	22.8465	Shoe
21.9575	22.697200000000002	Shoe
22.447200000000002	22.737099999999998	Shoe
22.6271	22.897	Sponge
22.777	22.927	Sponge
22.867	23.0969	Shoe
23.096799999999998	23.2868	Sponge
23.2168	24.0065	Sponge
23.6665	24.636200000000002	Shoe
24.1962	25.8657	Shoe
25.125700000000002	26.215400000000002	Shoe
25.7153	25.8853	Shoe
25.8752	27.2249	Shoe
26.5948	27.304599999999997	Sponge
26.9946	27.4245	Sponge
27.3744	27.6043	Sponge
27.554299999999998	27.9642	Shoe
27.7942	27.9641	BG
27.914099999999998	28.244	Shoe
28.2539	28.9237	Shoe
28.7736	29.0035	Shoe
28.9035	29.433400000000002	Shoe
29.313299999999998	29.8231	Shoe
29.583099999999998	30.3729	Sponge
30.142799999999998	30.4927	Sponge
30.4726	30.662599999999998	Sponge
30.592599999999997	30.8225	Shoe
30.7325	31.0024	Sponge
30.9124	31.3223	Sponge
31.1323	31.342200000000002	Shoe
31.2622	31.3922	Shoe
31.492	31.622	Sink
31.572	32.2218	Sponge
32.0917	32.3216	Sponge
32.3316	32.8614	BG
32.641400000000004	33.0713	Shoe
32.8912	33.081199999999995	BG
33.0911	33.381	Shoe
33.341	33.5509	Shoe
33.5509	33.680800000000005	Shoe
33.650800000000004	33.8808	Shoe
33.980599999999995	34.2106	Shoe
